City_ID,City,CurrentDescription,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
234,Baykit,overcast clouds,61.67,96.37,44.6,93,100,3.51
235,Qaanaaq,overcast clouds,77.484,-69.3632,19.53,89,98,5.35
236,Kaitangata,few clouds,-46.2817,169.8464,40.32,94,20,6.76
237,Tautira,light rain,-17.7333,-149.15,73.42,75,67,21.68
238,Adre,broken clouds,13.4667,22.2,80.24,53,78,6.89
239,Tazovskiy,overcast clouds,67.4667,78.7,38.3,95,99,15.01
240,Sayyan,broken clouds,15.1718,44.3244,69.96,27,69,8.14
241,Redmond,overcast clouds,47.674,-122.1215,58.71,90,99,1.01
242,Souillac,scattered clouds,-20.5167,57.5167,71.98,56,40,9.22
243,Vila,clear sky,42.0304,-8.1588,65.34,63,3,6.44
244,Sorland,overcast clouds,67.667,12.6934,53.46,74,99,9.55
245,Mahebourg,scattered clouds,-20.4081,57.7,71.89,56,40,9.22
246,Canmore,broken clouds,51.0834,-115.3521,55.76,81,56,6.91
247,Athboy,scattered clouds,53.6186,-6.9206,62.29,84,43,6.82
248,Vardo,clear sky,70.3705,31.1107,46.6,65,0,10.36
249,Paita,clear sky,-5.0892,-81.1144,75.76,65,10,12.06
250,Simao,overcast clouds,22.7886,100.9748,64.98,100,100,1.99
251,Bardiyah,clear sky,31.7561,25.0865,79.88,71,0,13.31
252,Tuktoyaktuk,broken clouds,69.4541,-133.0374,41.0,70,75,20.71
253,Turtas,light rain,58.9417,69.1325,35.17,97,100,13.44
254,Presidente Medici,scattered clouds,-11.1753,-61.9014,101.97,25,30,4.16
255,Hualmay,few clouds,-11.0964,-77.6139,66.42,66,23,12.21
256,Vrangel,overcast clouds,42.7297,133.0839,63.18,78,100,5.64
257,Airai,scattered clouds,-8.9266,125.4092,56.89,71,28,3.85
258,Pokosnoye,overcast clouds,55.5258,101.0536,50.58,89,89,5.68
259,Christchurch,broken clouds,-43.5333,172.6333,50.92,81,75,3.0
260,Longyearbyen,broken clouds,78.2186,15.6401,39.04,93,75,8.05
261,Cabo San Lucas,broken clouds,22.8909,-109.9124,91.81,71,77,1.01
262,Yulara,broken clouds,-25.2406,130.9889,66.04,82,77,5.75
263,Anadyr,scattered clouds,64.75,177.4833,30.7,93,40,8.95
264,Sao Joao Da Barra,few clouds,-21.6403,-41.0511,80.69,70,12,15.97
265,Huicungo,clear sky,-7.2833,-76.8,94.14,36,4,2.77
266,Marawi,overcast clouds,7.9986,124.2928,65.64,98,100,1.07
267,Samsun,broken clouds,41.25,36.3333,67.3,88,65,1.5
